model_name,tag,f1_score,precision,recall
LogisticRegression,"""Wholesale::PDF::Damaged::Evri""",0.0,0.0,0.0
LogisticRegression,"""PDF::Damaged::Evri""",0.0,0.0,0.0
LogisticRegression,"""Product Information::Aftersales""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::WISMO::Returned By Courier""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::Cancellation::Full Order""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::Order Amend""",0.0,0.0,0.0
LogisticRegression,"""PDF::Plant & Advise""",0.0,0.0,0.0
LogisticRegression,"""Update Customer Information""",0.0,0.0,0.0
LogisticRegression,"""Wrong Item::Flowered Incorrectly""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::Website/Online Account Issue""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::Product Information::Aftersales""",0.0,0.0,0.0
LogisticRegression,"""No Response Needed (Triage)""",0.0,0.0,0.0
LogisticRegression,"""IT Ticket""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::Order Confirmation/VAT Receipt""",0.0,0.0,0.0
LogisticRegression,"""Order Amend""",0.0,0.0,0.0
LogisticRegression,"""Question::Pre-Sales""",0.0,0.0,0.0
LogisticRegression,"""Resolved by Phone/WhatsApp""",0.0,0.0,0.0
LogisticRegression,"""WISMO::In Pick""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::PDF::Plant & Advise""",0.0,0.0,0.0
LogisticRegression,"""Pre-Sales Question""",0.0,0.0,0.0
LogisticRegression,"""Reviews::Courier Complaint (Delivered)""",0.0,0.0,0.0
LogisticRegression,"""WISMO::On the way""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::PDF::Failed After Planting""",0.0,0.0,0.0
LogisticRegression,"""WISMO::Delivered""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::WISMO::On the way""",0.0,0.0,0.0
LogisticRegression,"""PDF::Damaged::Bedding""",0.0,0.0,0.0
LogisticRegression,"""Question::Aftersales""",0.0,0.0,0.0
LogisticRegression,"""WISMO::Lost In Transit""",0.0,0.0,0.0
LogisticRegression,"""Order Confirmation/VAT Receipt""",0.0,0.0,0.0
LogisticRegression,"""Website/Online Account Issue""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::Cancellation::Part Of Order""",0.0,0.0,0.0
LogisticRegression,"""Product Information::Pre-Sales""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::WISMO::Missing (Packing Error)""",0.0,0.0,0.0
LogisticRegression,"""Wholesale::WISMO::In Pick""",0.0,0.0,0.0
LogisticRegression,"""PDF::Failed After Planting""",0.0,0.0,0.0
SVC,"""Wholesale::Pre-Sales Question""",0.0,0.0,0.0
SVC,"""WISMO::Not Despatched""",0.0,0.0,0.0
SVC,"""PDF::Damaged::Packer Damage""",0.0,0.0,0.0
SVC,"""Wholesale::Wrong Item::Flowered Incorrectly""",0.0,0.0,0.0
SVC,"""Wholesale::Product Information::Pre-Sales""",0.0,0.0,0.0
SVC,"""Cancellation::Full Order""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::Lost In Transit""",0.0,0.0,0.0
SVC,"""Wrong Item::Packing Error""",0.0,0.0,0.0
SVC,"""PDF::Poor On Arrival""",0.0,0.0,0.0
SVC,"""Wholesale::Update Customer Information""",0.0,0.0,0.0
SVC,"""WISMO::Returned By Courier""",0.0,0.0,0.0
SVC,"""Auto Reply""",0.0,0.0,0.0
SVC,"""Wholesale::PDF::Poor On Arrival""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::Not Despatched""",0.0,0.0,0.0
SVC,"""Positive Feedback""",0.0,0.0,0.0
SVC,"""Cancellation::Part Of Order""",0.0,0.0,0.0
SVC,"""Wholesale::Delay Order""",0.0,0.0,0.0
SVC,"""Spam""",0.0,0.0,0.0
SVC,"""WISMO::Missing (Packing Error)""",0.0,0.0,0.0
SVC,"""Wholesale::Wrong Item::Packing Error""",0.0,0.0,0.0
SVC,"""Payment/Refund Question""",0.0,0.0,0.0
SVC,"""WISMO:: Stocks Exhausted""",0.0,0.0,0.0
SVC,"""Wholesale::PDF::Damaged::Yodel""",0.0,0.0,0.0
SVC,"""Delay Order""",0.0,0.0,0.0
SVC,"""Wholesale::Quote""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::Delivered""",0.0,0.0,0.0
SVC,"""Reviews::General Feedback""",0.0,0.0,0.0
SVC,"""Wholesale::PDF::Damaged::Evri""",0.0,0.0,0.0
SVC,"""PDF::Damaged::Evri""",0.0,0.0,0.0
SVC,"""Product Information::Aftersales""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::Returned By Courier""",0.0,0.0,0.0
SVC,"""Wholesale::Cancellation::Full Order""",0.0,0.0,0.0
SVC,"""Wholesale::Order Amend""",0.0,0.0,0.0
SVC,"""PDF::Plant & Advise""",0.0,0.0,0.0
SVC,"""Update Customer Information""",0.0,0.0,0.0
SVC,"""Wrong Item::Flowered Incorrectly""",0.0,0.0,0.0
SVC,"""Wholesale::Website/Online Account Issue""",0.0,0.0,0.0
SVC,"""Wholesale::Product Information::Aftersales""",0.0,0.0,0.0
SVC,"""No Response Needed (Triage)""",0.0,0.0,0.0
SVC,"""IT Ticket""",0.0,0.0,0.0
SVC,"""Wholesale::Order Confirmation/VAT Receipt""",0.0,0.0,0.0
SVC,"""Order Amend""",0.0,0.0,0.0
SVC,"""Question::Pre-Sales""",0.0,0.0,0.0
SVC,"""Resolved by Phone/WhatsApp""",0.0,0.0,0.0
SVC,"""WISMO::In Pick""",0.0,0.0,0.0
SVC,"""Wholesale::PDF::Plant & Advise""",0.0,0.0,0.0
SVC,"""Pre-Sales Question""",0.0,0.0,0.0
SVC,"""Reviews::Courier Complaint (Delivered)""",0.0,0.0,0.0
SVC,"""WISMO::On the way""",0.0,0.0,0.0
SVC,"""Wholesale::PDF::Failed After Planting""",0.0,0.0,0.0
SVC,"""WISMO::Delivered""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::On the way""",0.0,0.0,0.0
SVC,"""PDF::Damaged::Bedding""",0.0,0.0,0.0
SVC,"""Question::Aftersales""",0.0,0.0,0.0
SVC,"""WISMO::Lost In Transit""",0.0,0.0,0.0
SVC,"""Order Confirmation/VAT Receipt""",0.0,0.0,0.0
SVC,"""Website/Online Account Issue""",0.0,0.0,0.0
SVC,"""Wholesale::Cancellation::Part Of Order""",0.0,0.0,0.0
SVC,"""Product Information::Pre-Sales""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::Missing (Packing Error)""",0.0,0.0,0.0
SVC,"""Wholesale::WISMO::In Pick""",0.0,0.0,0.0
SVC,"""PDF::Failed After Planting""",0.0,0.0,0.0
